MPA,MPA_Name,cg_name,time_period,Data_Type,RCP,Model,sector_type_id,total_sum,baseline_sum,delta_mean,sector_name,eez_name,baseline_importance
GreatBarrierReef,Great Barrier Reef,Perch-likes,End of Century,nonuse_value,85,MPA,3,725237749.3181616,412097670.7803389,75.98685960657522,Artisanal,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,End of Century,nonuse_value,85,MPA,4,889071298.7127686,517746495.4636222,71.71942379187698,Recreational,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,End of Century,revenue,85,MPA,1,6935026.892613322,5622071.454836445,23.35358858961839,Industrial,Australia,0.5401574539478888
GreatBarrierReef,Great Barrier Reef,Perch-likes,End of Century,revenue,85,MPA,2,1012669.7545864588,524012.2131742572,93.25308249059863,Subsistence,Australia,25.26124528073858
GreatBarrierReef,Great Barrier Reef,Perch-likes,End of Century,revenue,85,MPA,3,3389251.998365798,1966853.5316346774,72.31847434765245,Artisanal,Australia,5.209128374029337
GreatBarrierReef,Great Barrier Reef,Perch-likes,End of Century,revenue,85,MPA,4,3818207.1307285037,2221591.7202769476,71.868084305451,Recreational,Australia,29.487799534115393
GreatBarrierReef,Great Barrier Reef,Perch-likes,Mid Century,Abd,85,MPA,1,535036.7252407692,535610.7028219409,-0.10716320233101877,Industrial,Australia,9.61460148297069
GreatBarrierReef,Great Barrier Reef,Perch-likes,Mid Century,Abd,85,MPA,2,57923.85951592214,49280.36031391323,17.539439945143016,Subsistence,Australia,43.871763724469396
GreatBarrierReef,Great Barrier Reef,Perch-likes,Mid Century,Abd,85,MPA,3,114601.07319959279,104498.33246756259,9.667848752673828,Artisanal,Australia,18.307662905739132
GreatBarrierReef,Great Barrier Reef,Perch-likes,Mid Century,Abd,85,MPA,4,151671.28439823375,140876.1991464925,7.662816939372282,Recreational,Australia,38.45828533753751
GreatBarrierReef,Great Barrier Reef,Perch-likes,Mid Century,Catch,85,MPA,1,2895.506375375154,2883.7322782898186,0.4082936954299433,Industrial,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,Mid Century,Catch,85,MPA,2,153.04742092688457,129.35092742977648,18.31953892249649,Subsistence,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,Mid Century,Catch,85,MPA,3,522.7305918178414,502.26607160923766,4.0744381046954565,Artisanal,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,Mid Century,Catch,85,MPA,4,620.3998303604149,592.8525464049948,4.64656584887159,Recreational,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,Mid Century,nonuse_value,85,MPA,1,1157724849.4245026,1081788204.226684,7.019548272122435,Industrial,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,Mid Century,nonuse_value,85,MPA,2,248708839.8282358,205377337.62756824,21.098482773812663,Subsistence,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,Mid Century,nonuse_value,85,MPA,3,497715926.33242667,412195288.7979068,20.747601891308694,Artisanal,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,Mid Century,nonuse_value,85,MPA,4,618002212.2124388,517746495.4636222,19.36386197245844,Recreational,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,Mid Century,revenue,85,MPA,1,6057102.385689145,5622071.454836445,7.737911806127262,Industrial,Australia,0.5401574539478888
GreatBarrierReef,Great Barrier Reef,Perch-likes,Mid Century,revenue,85,MPA,2,637951.1204372958,524012.2131742572,21.743559481723157,Subsistence,Australia,25.26124528073858
GreatBarrierReef,Great Barrier Reef,Perch-likes,Mid Century,revenue,85,MPA,3,2390789.447156346,1969800.5057308765,21.372161302662747,Artisanal,Australia,5.209128374029337
GreatBarrierReef,Great Barrier Reef,Perch-likes,Mid Century,revenue,85,MPA,4,2689991.542934887,2221591.7202769476,21.083974088611924,Recreational,Australia,29.487799534115393
GreatBarrierReef,Great Barrier Reef,Perch-likes,Today,Abd,85,MPA,1,535610.7028219409,535610.7028219409,0,Industrial,Australia,9.61460148297069
GreatBarrierReef,Great Barrier Reef,Perch-likes,Today,Abd,85,MPA,2,49280.36031391323,49280.36031391323,0,Subsistence,Australia,43.871763724469396
GreatBarrierReef,Great Barrier Reef,Perch-likes,Today,Abd,85,MPA,3,104498.33246756259,104498.33246756259,0,Artisanal,Australia,18.307662905739132
GreatBarrierReef,Great Barrier Reef,Perch-likes,Today,Abd,85,MPA,4,140876.1991464925,140876.1991464925,0,Recreational,Australia,38.45828533753751
GreatBarrierReef,Great Barrier Reef,Perch-likes,Today,Catch,85,MPA,1,2883.7322782898186,2883.7322782898186,0,Industrial,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,Today,Catch,85,MPA,2,129.35092742977648,129.35092742977648,0,Subsistence,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,Today,Catch,85,MPA,3,502.26607160923766,502.26607160923766,0,Artisanal,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,Today,Catch,85,MPA,4,592.8525464049948,592.8525464049948,0,Recreational,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,Today,nonuse_value,85,MPA,1,1081788204.226684,1081788204.226684,0,Industrial,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,Today,nonuse_value,85,MPA,2,205377337.62756824,205377337.62756824,0,Subsistence,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,Today,nonuse_value,85,MPA,3,412249919.9205203,412249919.9205203,0,Artisanal,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,Today,nonuse_value,85,MPA,4,517746495.4636222,517746495.4636222,0,Recreational,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,Today,revenue,85,MPA,1,5622071.454836445,5622071.454836445,0,Industrial,Australia,0.5401574539478888
GreatBarrierReef,Great Barrier Reef,Perch-likes,Today,revenue,85,MPA,2,524012.2131742572,524012.2131742572,0,Subsistence,Australia,25.26124528073858
GreatBarrierReef,Great Barrier Reef,Perch-likes,Today,revenue,85,MPA,3,1971484.4468164728,1971484.4468164728,0,Artisanal,Australia,5.209128374029337
GreatBarrierReef,Great Barrier Reef,Perch-likes,Today,revenue,85,MPA,4,2221591.7202769476,2221591.7202769476,0,Recreational,Australia,29.487799534115393
GreatBarrierReef,Great Barrier Reef,Tuna & billfishes,End of Century,Abd,85,MPA,1,92119.0662517969,97900.11074592716,-5.905043875929179,Industrial,Australia,18.619608431947416
GreatBarrierReef,Great Barrier Reef,Tuna & billfishes,End of Century,Catch,85,MPA,1,591.8361264885018,656.3813366157603,-9.833492594418894,Industrial,Australia,NA
