taxon_key,scientific_name,common_name,functional_group_id,commercial_group_id,fg_name,cg_name
601196,Stellifer rastrifer,Rake stardrum,4,3,Small demersals (<30 cm),Perch-likes
605520,Johnius belangerii,Belanger's croaker,18,3,Large reef assoc. fish (>=90 cm),Perch-likes
600409,Menticirrhus americanus,Southern kingcroaker,5,3,Medium demersals (30 - 89 cm),Perch-likes
602579,Gymnura micrura,Smooth butterfly ray,21,9,Small to medium rays (<90 cm),Sharks & rays
612909,Aplodactylus punctatus,Aplodactylus punctatus,5,3,Medium demersals (30 - 89 cm),Perch-likes
500398,Odontognathus,Longfin herrings,1,2,Small pelagics (<30 cm),Herring-likes
590092,Palaemon,Carnivorous shrimps,26,10,Shrimps,Crustaceans
612961,Synodus englemani,Englemans lizardfish,16,12,Small reef assoc. fish (<30 cm),Other fishes & inverts
400631,Latidae,Lates perches,6,3,Large demersals (>=90 cm),Perch-likes
502790,Menticirrhus,Kingcroakers,5,3,Medium demersals (30 - 89 cm),Perch-likes
500537,Achirus,Soles,23,7,Small to medium flatfishes (<90 cm),Flatfishes
600948,Sciades couma,Couma sea catfish,5,12,Medium demersals (30 - 89 cm),Other fishes & inverts
600955,Sciades proops,Crucifix sea catfish,5,12,Medium demersals (30 - 89 cm),Other fishes & inverts
601165,Bairdiella chrysoura,Silver croaker,4,3,Small demersals (<30 cm),Perch-likes
607447,Gymnothorax pindae,Pinda moray,17,12,Medium reef assoc. fish (30 - 89 cm),Other fishes & inverts
490135,Cypraeidae,Cowrys,29,11,Other demersal invertebrates,Molluscs
490132,Holothuriidae,Fleshy sea cucumbers,29,12,Other demersal invertebrates,Other fishes & inverts
