area_data_key,taxon_key,fishing_entity_id,gear_id,time_key,year,area_key,eez_id,fao_id,data_layer_id,marine_layer_id,catch_type_id,catch_status,reporting_status_id,reporting_status,sector_type_id,end_use_type_id,score,catch_sum,real_value,primary_production_required,catch_trophic_level,catch_max_length,marine_layer_id_1,remarks,name,bread_crumb_name,show_sub_areas,last_report_year,eez_name,scientific_name,common_name,functional_group_id,commercial_group_id,fg_name,cg_name,sector_type
1070696,600264,7,700,61,2011,10,36,71,1,1,1,R,1,R,3,1,3,45.6062916412441,5404.69613505127,72281.101155604,191.546424893225,3648.50333129953,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Lutjanus johnii,John's snapper,17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Artisanal
1070747,605656,7,601,64,2014,10,36,71,1,1,1,R,1,R,1,1,3,0.200103529411803,1.08459673303255,3.0286894779302,0.43622569411773,10.6054870588256,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Ellochelon vaigiensis,Squaretail mullet,17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Industrial
1070761,400475,7,601,61,2011,10,36,71,1,1,1,R,1,R,1,1,3,0.0837644444444929,59.8893986039079,5.53426196204727,0.23621573333347,2.76422666666826,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Hemiramphidae,"Halfbeaks, garfishes",2,12,Medium pelagics (30 - 89 cm),Other fishes & inverts,Industrial
1070763,601837,7,300,61,2011,10,36,71,1,1,1,R,1,R,1,1,3,0.147071354330716,1.00468921054337,92.7957511776138,0.558871146456719,5.58871146456719,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Gymnocranius euanus,Japanese large-eye bream,17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Industrial
1070810,600886,7,400,65,2015,10,36,71,1,1,1,R,1,R,1,1,3,6.00754000000001,289.531547126653,20830.354985676,27.2742316,3694.6371,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Galeocerdo cuvier,Tiger shark,20,9,Large sharks (>=90 cm),Sharks & rays,Industrial
1070827,400439,7,800,66,2016,10,36,71,1,1,2,D,2,U,1,4,3,152.073054557598,222939.097981438,89547.2533267857,573.315415682143,4410.11858217033,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Bothidae,Lefteye flounders,23,7,Small to medium flatfishes (<90 cm),Flatfishes,Industrial
1070866,100039,136,401,61,2011,10,36,71,3,1,2,D,2,U,1,4,1,0.167061374557634,244.911975101492,31.8328886708517,0.547961308549041,8.35306872788173,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Marine fishes not identified,Marine fishes nei,5,12,Medium demersals (30 - 89 cm),Other fishes & inverts,Industrial
1070912,100039,83,302,63,2013,10,36,71,3,1,2,D,2,U,1,4,1,60.3599154174558,88487.6360019902,11501.3447767546,197.980522569255,3017.99577087279,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Marine fishes not identified,Marine fishes nei,5,12,Medium demersals (30 - 89 cm),Other fishes & inverts,Industrial
1070960,600346,7,700,61,2011,10,36,71,1,1,1,R,1,R,3,3,3,0.216189008089344,316.933085858978,483.986902335736,0.940422185188646,35.0226193104737,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Lates calcarifer,Barramundi,6,3,Large demersals (>=90 cm),Perch-likes,Artisanal
1070970,601732,7,400,64,2014,10,36,71,1,1,1,R,1,R,1,1,3,0.588723415384684,0.346248664580459,301.933505602312,2.18416387107718,164.842556307712,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Mola mola,Ocean sunfish,3,12,Large pelagics (>=90 cm),Other fishes & inverts,Industrial
